Residual_Power,Application_Type,Min_Security_Level,Max_Stack_Usage,Max_ROM,Min_Throughput,Algorithm
100.0,A ,Low,300.0,17.0,10.0,Xoodyak
90.0,A,Low,300.0,17.0,10.0,Xoodyak
80.0,A,Low,300.0,17.0,10.0,Xoodyak
70.0,A,Low,300.0,17.0,10.0,Xoodyak
60.0,A,Low,300.0,17.0,10.0,Xoodyak
50.0,A,Low,300.0,17.0,10.0,TinyJAMBU
40.0,A,Low,300.0,17.0,10.0,TinyJAMBU
30.0,A,Low,300.0,17.0,10.0,TinyJAMBU
20.0,A,Low,300.0,17.0,10.0,TinyJAMBU
10.0,A,Low,300.0,17.0,10.0,TinyJAMBU
100.0,B,Low,300.0,17.0,200.0,Xoodyak
90.0,B,Low,300.0,17.0,200.0,Xoodyak
80.0,B,Low,300.0,17.0,200.0,Xoodyak
70.0,B,Low,300.0,17.0,200.0,Xoodyak
60.0,B,Low,300.0,17.0,200.0,Xoodyak
50.0,B,Low,300.0,17.0,200.0,TinyJAMBU
40.0,B,Low,300.0,17.0,200.0,TinyJAMBU
30.0,B,Low,300.0,17.0,200.0,TinyJAMBU
20.0,B,Low,300.0,17.0,200.0,TinyJAMBU
10.0,B,Low,300.0,17.0,200.0,TinyJAMBU
100.0,C,Low,300.0,17.0,1000.0,Xoodyak
90.0,C,Low,300.0,17.0,1000.0,Xoodyak
80.0,C,Low,300.0,17.0,1000.0,Xoodyak
70.0,C,Low,300.0,17.0,1000.0,Xoodyak
60.0,C,Low,300.0,17.0,1000.0,Xoodyak
50.0,C,Low,300.0,17.0,1000.0,Xoodyak
40.0,C,Low,300.0,17.0,1000.0,Xoodyak
30.0,C,Low,300.0,17.0,1000.0,Xoodyak
20.0,C,Low,300.0,17.0,1000.0,Xoodyak
10.0,C,Low,300.0,17.0,1000.0,Xoodyak
100.0,D,Low,400.0,20.0,10.0,ISAP
90.0,D,Low,400.0,20.0,10.0,ISAP
80.0,D,Low,400.0,20.0,10.0,ISAP
70.0,D,Low,400.0,20.0,10.0,ISAP
60.0,D,Low,400.0,20.0,10.0,ISAP
50.0,D,Low,400.0,20.0,10.0,ISAP
40.0,D,Low,400.0,20.0,10.0,ISAP
30.0,D,Low,400.0,20.0,10.0,ISAP
20.0,D,Low,400.0,20.0,10.0,ISAP
